AG024.0254+0.1979  1 278.5959   -7.82971  24.02514  0.19658    1.22   0.05 0.36 0.27   32    1.36 0.36 0.24 -57 N N
AG024.0254+0.1979  2 278.59539  -7.82936  24.02521  0.19718    3.99   0.59 0.4  0.3    34    5.48 0.36 0.24 -57 N N
AG024.0254+0.1979  3 278.59493  -7.82933  24.02503  0.1976     1.11   0.54 0.45 0.32   10    1.89 0.36 0.24 -57 N N
AG024.0495-0.2140  1 278.97533  -7.99811  24.04864 -0.21458    3.32   0.15 0.31 0.22   34    3.68 0.31 0.2  -59 N N
AG024.0495-0.2140  2 278.97871  -7.99458  24.05332 -0.21593    1.16   0.1  0.29 0.21    5    1.15 0.31 0.2  -59 N N
AG024.0981+0.4575  1 278.39688  -7.64583  24.09741  0.45634    3.94   0.22 0.35 0.25   32    5.38 0.32 0.2  -59 N N
AG024.1140-0.1744  1 278.97078  -7.9235   24.11282 -0.17626    7.35   0.29 0.33 0.22   25    8.92 0.31 0.19 -61 N N
AG024.1140-0.1744  2 278.97093  -7.92335  24.11302 -0.17632    3.5    0.34 0.32 0.22   32    4.28 0.31 0.19 -61 N N
AG024.1140-0.1744  3 278.9707   -7.92335  24.11292 -0.17612    0.7    0.69 0.21 0.29  -69    0.7  0.31 0.19 -61 N N
AG024.1140-0.1744  4 278.97056  -7.92327  24.11293 -0.17596    0.46   0.25 0.32 0.18   25    0.45 0.31 0.19 -61 N N
AG024.1140-0.1744  5 278.97077  -7.92303  24.11324 -0.17603    2.12   0.26 0.33 0.24   39    2.89 0.31 0.19 -61 N N
AG024.1140-0.1744  6 278.96906  -7.92159  24.11374 -0.17387    2.53   0.13 0.31 0.21   31    2.77 0.31 0.19 -61 N N
AG024.1140-0.1744  7 278.96684  -7.92122  24.11306 -0.17174    1.56   0.42 0.29 0.24   43    1.84 0.31 0.19 -61 N N
AG024.1140-0.1744  8 278.97202  -7.92045  24.11609 -0.17595    0.7    0.1  0.18 0.29 -259    0.62 0.31 0.19 -61 N N
AG024.1140-0.1744  9 278.96697  -7.91909  24.115   -0.17088    1.33   0.24 0.33 0.2    24    1.5  0.31 0.19 -61 N N
AG024.1140-0.1744 10 278.96907  -7.92206  24.11332 -0.17409    0.59   0.37 0.34 0.25   36    0.87 0.31 0.19 -61 N N
AG024.1140-0.1744 11 278.96912  -7.92203  24.11338 -0.17412    0.75   0.29 0.29 0.22  209    0.82 0.31 0.19 -61 N N
AG024.1140-0.1744 12 278.96916  -7.92197  24.11344 -0.17413    1.06   0.23 0.35 0.31    7    1.93 0.31 0.19 -61 N N
