Source_Name,Source_Seq,Source_RA,Source_Dec,Source_GLON,Source_GLAT,Source_Fpeak,Source_Fint,Primary_Target,Primary_Distance_arcsec,Num_Matching_Targets,All_Targets,Primary_FITS
AG023.7065-0.1971,4,278.80017,-8.29494,23.70532,-0.1972,1.27,1.51,105642,4.20565715961094,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,5,278.80187,-8.29487,23.70615,-0.19867,0.52,0.68,105642,5.097221903511025,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,6,278.80032,-8.29483,23.70549,-0.19729,0.87,1.02,105642,3.5972726469913603,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,7,278.80151,-8.2943,23.7065,-0.19809,1.47,1.78,105642,2.875283967943193,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,8,278.80176,-8.29423,23.70668,-0.19827,2.42,3.13,105642,3.614360049408057,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,9,278.802,-8.29365,23.7073,-0.19822,0.56,0.58,105642,4.44777920445704,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,10,278.80169,-8.29361,23.70719,-0.19793,2.6,3.63,105642,3.4332315786233565,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7065-0.1971,11,278.80172,-8.29356,23.70725,-0.19793,2.08,2.49,105642,3.5987968335143092,1,105642,member.uid___A001_X1467_X1e7._105642__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,1,278.47413,-8.12088,23.71116,0.1694,0.73,0.66,105657,7.822969881828016,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,2,278.47279,-8.12082,23.71059,0.1706,0.56,0.9,105657,3.6106194681789123,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,3,278.47345,-8.12069,23.71101,0.17008,2.96,3.48,105657,5.319645618142775,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,4,278.47333,-8.12044,23.71118,0.1703,10.7,14.6,105657,4.617837780085963,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,5,278.47331,-8.12014,23.71144,0.17046,1.45,2.49,105657,4.388450623175844,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,6,278.47206,-8.11986,23.71111,0.17168,0.52,0.9,105657,0.8860398041930436,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,7,278.47223,-8.11983,23.71122,0.17155,0.53,0.59,105657,1.1278195234720043,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,8,278.47246,-8.11945,23.71166,0.17152,0.69,0.51,105657,2.721994173177342,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,9,278.47275,-8.11939,23.71184,0.1713,0.61,0.73,105657,3.5141323707038747,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,10,278.4715,-8.11869,23.7119,0.17272,1.54,2.69,105657,5.497570553399231,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
AG023.7110+0.1717,11,278.47153,-8.1186,23.71199,0.17273,2.77,3.32,105657,5.761958255555711,1,105657,member.uid___A001_X1467_X1e7._105657__sci.spw16_18_20_22.cont.I.pbcor.fits
